INTERN ID,NAME,MONTH,TASK ASSIGNED,AVERAGE COMPLETION TIME,QUALITY SCORE,MENTOR FEEDBACK
1,ALI KHAN,JANUARY,9,9.4,8,2.6
1,ALI KHAN,FEBRUARY,8,7.1,7.3,2.2
1,ALI KHAN,MARCH,10,3.3,8.9,2.8
2,SARA AHMED,JANUARY,9,6.6,6.2,2.1
2,SARA AHMED,FEBRUARY,5,4.1,8.3,2
2,SARA AHMED,MARCH,8,6,7.1,3.2
3,BILAL HUSSAIN,JANUARY,10,4.3,9.8,4.7
3,BILAL HUSSAIN,FEBRUARY,7,1.9,8.2,3.8
3,BILAL HUSSAIN,MARCH,9,8.9,7.3,4.8
4,AYESHA MALIK,JANUARY,8,6.5,6.4,2.3
4,AYESHA MALIK,FEBRUARY,8,3,7.1,4
4,AYESHA MALIK,MARCH,5,3.7,5.6,4.6
5,USMAN TARIQ,JANUARY,10,9.5,7.8,3.4
5,USMAN TARIQ,FEBRUARY,8,4.4,5.5,4.2
5,USMAN TARIQ,MARCH,9,4.7,5.1,2.5
6,HINA RIAZ,JANUARY,8,4.2,6.6,4.2
6,HINA RIAZ,FEBRUARY,10,8.4,5.7,3.7
6,HINA RIAZ,MARCH,7,8.2,5.6,3.1
7,ZAINAB BUTT,JANUARY,9,1.1,8.5,4.4
7,ZAINAB BUTT,FEBRUARY,9,2.5,6,3.5
7,ZAINAB BUTT,MARCH,5,3.8,9,2.8
8,HAMZA SHIEKH,JANUARY,7,8.1,10,2.7
8,HAMZA SHIEKH,FEBRUARY,6,2.6,4.5,2.8
8,HAMZA SHIEKH,MARCH,5,2.6,5.6,3.5
9,ZAINAB YOUSAF,JANUARY,6,9.8,5.9,2.4
9,ZAINAB YOUSAF,FEBRUARY,5,2.1,9.4,4.5
9,ZAINAB YOUSAF,MARCH,7,7.1,7.6,3.4
10,FAHAD IQBAL,JANUARY,5,2.6,9.3,3.7
10,FAHAD IQBAL,FEBRUARY,5,9.1,9.7,3.3
10,FAHAD IQBAL,MARCH,7,2,5.3,4
