INTERN ID,NAME,MONTH,TASK ASSIGNED,AVERAGE COMPLETION TIME,QUALITY SCORE,MENTOR FEEDBACK,CompletionScore,OverallScore
1,ALI KHAN,JANUARY,9,9.4,8.0,2.6,24.799999999999997,55.04
1,ALI KHAN,FEBRUARY,8,7.1,7.3,2.2,43.2,55.36
1,ALI KHAN,MARCH,10,3.3,8.9,2.8,73.6,74.48
2,SARA AHMED,JANUARY,9,6.6,6.2,2.1,47.2,51.56
2,SARA AHMED,FEBRUARY,5,4.1,8.3,2.0,67.2,65.36
2,SARA AHMED,MARCH,8,6.0,7.1,3.2,52.0,63.2
3,BILAL HUSSAIN,JANUARY,10,4.3,9.8,4.7,65.6,87.08
3,BILAL HUSSAIN,FEBRUARY,7,1.9,8.2,3.8,84.8,81.04
3,BILAL HUSSAIN,MARCH,9,8.9,7.3,4.8,28.799999999999997,66.64
4,AYESHA MALIK,JANUARY,8,6.5,6.4,2.3,48.0,53.8
4,AYESHA MALIK,FEBRUARY,8,3.0,7.1,4.0,76.0,75.2
4,AYESHA MALIK,MARCH,5,3.7,5.6,4.6,70.4,71.12
5,USMAN TARIQ,JANUARY,10,9.5,7.8,3.4,24.0,58.800000000000004
5,USMAN TARIQ,FEBRUARY,8,4.4,5.5,4.2,64.8,66.64
5,USMAN TARIQ,MARCH,9,4.7,5.1,2.5,62.4,54.120000000000005
6,HINA RIAZ,JANUARY,8,4.2,6.6,4.2,66.4,71.52000000000001
6,HINA RIAZ,FEBRUARY,10,8.4,5.7,3.7,32.8,54.84
6,HINA RIAZ,MARCH,7,8.2,5.6,3.1,34.400000000000006,51.32000000000001
7,ZAINAB BUTT,JANUARY,9,1.1,8.5,4.4,91.2,87.75999999999999
7,ZAINAB BUTT,FEBRUARY,9,2.5,6.0,3.5,80.0,69.0
7,ZAINAB BUTT,MARCH,5,3.8,9.0,2.8,69.6,73.67999999999999
8,HAMZA SHIEKH,JANUARY,7,8.1,10.0,2.7,35.2,66.76
8,HAMZA SHIEKH,FEBRUARY,6,2.6,4.5,2.8,79.2,58.56
8,HAMZA SHIEKH,MARCH,5,2.6,5.6,3.5,79.2,67.16
9,ZAINAB YOUSAF,JANUARY,6,9.8,5.9,2.4,21.599999999999994,44.48
9,ZAINAB YOUSAF,FEBRUARY,5,2.1,9.4,4.5,83.2,89.56
9,ZAINAB YOUSAF,MARCH,7,7.1,7.6,3.4,43.2,63.76
10,FAHAD IQBAL,JANUARY,5,2.6,9.3,3.7,79.2,83.16000000000001
10,FAHAD IQBAL,FEBRUARY,5,9.1,9.7,3.3,27.200000000000003,66.76
10,FAHAD IQBAL,MARCH,7,2.0,5.3,4.0,84.0,70.4
